AED	maker_R1/Anteater_rnd1.all.maker.gff	maker_R2/Anteater_rnd2.all.maker.gff	maker_R3/Anteater_rnd3.all.maker.gff	maker_R4/Anteater_rnd4.all.maker.gff
0.000	0.015	0.013	0.044	0.016
0.025	0.055	0.065	0.166	0.057
0.050	0.121	0.141	0.318	0.108
0.075	0.178	0.191	0.402	0.136
0.100	0.275	0.260	0.504	0.171
0.125	0.344	0.303	0.555	0.189
0.150	0.448	0.358	0.616	0.209
0.175	0.519	0.393	0.647	0.220
0.200	0.608	0.441	0.688	0.233
0.225	0.661	0.471	0.710	0.240
0.250	0.730	0.514	0.740	0.250
0.275	0.771	0.542	0.758	0.257
0.300	0.822	0.579	0.781	0.265
0.325	0.852	0.602	0.795	0.269
0.350	0.895	0.638	0.816	0.276
0.375	0.916	0.660	0.828	0.280
0.400	0.943	0.694	0.846	0.286
0.425	0.955	0.717	0.859	0.290
0.450	0.974	0.751	0.877	0.296
0.475	0.981	0.772	0.889	0.300
0.500	0.990	0.804	0.908	0.305
0.525	0.992	0.822	0.918	0.308
0.550	0.995	0.846	0.931	0.311
0.575	0.996	0.862	0.937	0.314
0.600	0.997	0.882	0.947	0.316
0.625	0.998	0.895	0.954	0.318
0.650	0.998	0.913	0.962	0.321
0.675	0.999	0.923	0.967	0.322
0.700	0.999	0.939	0.973	0.324
0.725	0.999	0.948	0.977	0.325
0.750	1.000	0.961	0.982	0.327
0.775	1.000	0.969	0.985	0.327
0.800	1.000	0.978	0.989	0.328
0.825	1.000	0.983	0.991	0.329
0.850	1.000	0.989	0.993	0.330
0.875	1.000	0.992	0.995	0.330
0.900	1.000	0.995	0.997	0.330
0.925	1.000	0.998	0.998	0.331
0.950	1.000	0.999	0.999	0.331
0.975	1.000	0.999	0.999	0.331
1.000	1.000	1.000	1.000	1.000
