Orthogroup	Willisornis poecilinotus	Acanthisitta chloris	Amazona collaria	Camarhynchus parvulus	Corapipo altera	Corvus brachyrhynchos	Corvus cornix	Cyanistes caeruleus	Empidonax trailli	Erythrura gouldiae	Falco cherug	Falco peregrinus	Ficedula albicollis	Geospiza fortis	Junco hyemalis	Lepidothrix coronata	Lonchura striata	Manacus vitellinus	Melopsittacus undulatus	Neopelma chrysocephalum	Nestor notabilis	Parus major	Pipra filicauda	Pseudopodoces humilis	Serinus canaria	Taeniopygia guttata	Zonotrichia albicollis	Hypocnemis ochrogyna	Rhegmatorhina melanosticta
OG0000000	0	0	0	31	63	31	0	101	37	119	1	1	4	17	26	14	41	135	0	68	0	15	61	34	32	53	44	0	0
OG0000001	34	3	4	41	89	5	2	17	90	48	6	10	21	5	7	4	12	90	2	120	4	2	113	6	10	7	5	35	2
OG0000002	0	1	8	15	22	14	1	40	33	33	5	6	2	7	13	18	18	66	4	46	4	11	55	4	32	9	25	0	0
OG0000003	12	6	18	26	12	13	8	24	21	8	10	6	23	20	11	10	12	32	14	10	7	8	63	31	12	49	6	10	1
OG0000004	3	1	1	2	17	5	0	4	20	8	1	1	8	3	2	4	5	157	2	43	1	2	53	7	8	18	6	4	3
OG0000005	11	10	11	8	17	11	10	8	15	6	9	11	14	10	5	5	15	9	6	16	11	5	14	16	9	15	5	14	10
OG0000006	7	8	8	18	8	9	6	15	11	12	3	2	11	14	8	6	10	14	3	12	2	11	20	16	11	15	8	10	4
OG0000007	0	2	237	1	2	9	6	0	2	0	1	1	0	4	0	1	1	3	4	3	2	0	1	0	1	0	1	1	0
OG0000008	2	10	11	11	7	11	10	9	13	6	11	12	10	11	4	7	10	11	8	15	10	10	12	11	7	12	10	2	0
OG0000009	5	8	10	10	9	9	9	9	9	9	9	9	9	9	9	9	9	9	8	9	8	9	9	10	9	9	9	5	5
OG0000010	16	0	8	0	12	1	5	11	13	9	1	2	7	0	6	6	6	8	5	15	0	9	16	4	12	8	12	15	10
OG0000011	6	4	11	6	6	3	3	14	6	14	1	2	10	3	3	2	4	7	3	11	1	7	37	12	13	10	4	4	3
OG0000012	6	3	8	11	2	8	3	4	25	2	2	2	16	12	2	6	6	13	4	10	1	3	16	18	11	8	4	0	1
OG0000013	4	0	0	1	34	7	5	6	30	0	0	0	4	8	0	0	0	2	1	35	0	1	37	0	0	16	0	14	7
OG0000014	3	2	14	13	5	7	7	6	6	5	13	10	5	11	5	5	7	3	8	5	3	3	10	10	10	9	6	7	7
OG0000015	6	8	9	6	7	8	6	7	5	10	10	10	8	9	4	4	6	9	7	5	5	5	9	8	7	7	4	5	2
OG0000016	6	2	1	3	8	5	0	10	21	1	1	1	4	2	1	6	3	36	3	20	1	3	16	4	5	4	7	13	3
OG0000017	1	0	16	1	1	35	2	7	1	4	1	1	8	1	2	0	0	1	0	0	1	2	6	56	5	24	2	6	4
OG0000018	5	5	9	7	8	7	5	5	7	7	8	8	7	8	6	7	7	6	6	7	8	6	7	7	5	7	4	5	5
OG0000019	4	5	5	7	9	8	7	7	6	2	6	8	5	6	4	7	6	5	7	9	7	5	7	7	7	6	7	1	2
OG0000020	2	5	12	9	5	3	4	7	5	4	8	10	7	10	3	2	5	5	10	4	7	2	8	8	9	5	1	7	5
OG0000021	3	1	1	9	3	8	5	8	8	5	2	1	5	10	3	2	6	6	3	15	2	6	22	8	4	11	3	7	2
OG0000022	0	3	9	18	1	7	2	2	11	2	7	4	6	3	1	1	7	13	11	2	8	1	13	10	4	19	0	4	0
OG0000023	6	4	6	7	6	6	4	4	5	9	7	8	6	4	4	6	7	6	4	7	4	5	7	8	4	7	4	6	4
OG0000024	0	0	11	1	2	1	0	22	1	30	1	1	13	2	4	10	12	5	13	0	0	4	4	2	6	7	6	11	0
