AED	Hypoch/Hypoch.all.maker.gff
0.000	0.009
0.025	0.027
0.050	0.058
0.075	0.085
0.100	0.132
0.125	0.166
0.150	0.211
0.175	0.239
0.200	0.269
0.225	0.283
0.250	0.298
0.275	0.305
0.300	0.314
0.325	0.318
0.350	0.324
0.375	0.327
0.400	0.331
0.425	0.334
0.450	0.337
0.475	0.339
0.500	0.342
0.525	0.343
0.550	0.344
0.575	0.345
0.600	0.346
0.625	0.347
0.650	0.347
0.675	0.348
0.700	0.349
0.725	0.349
0.750	0.350
0.775	0.350
0.800	0.351
0.825	0.351
0.850	0.352
0.875	0.352
0.900	0.352
0.925	0.353
0.950	0.353
0.975	0.353
1.000	1.000
