		Million years bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[

LINE	RTE	3295	153616	384690	250332	215804	254370	201402	184280	192806	150592	213183	220716	151560	134219	100196	47036	26494	26014	9915	6660	6128	4510	2073	3558	1417	1103	1519	105	230	446	277	35	138	18	43	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	ERVK	213596	450379	330802	261643	236054	136769	64906	49490	29095	26923	22247	5938	18119	11328	7577	9480	1862	3174	5773	1169	926	1703	789	2823	1822	3389	7004	6973	3925	1969	1170	5037	1618	11056	5437	3383	6816	8160	2376	4543	7359	9682	7583	11496	23540	18012	32517	54975	54057	55699	55368	43060	40071	18049	11845	5670	9557	7436	1238	535	552	0	47	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	Unknown	3499	20862	51399	52851	70407	38310	28926	20154	13079	9888	9797	18785	24958	25874	20292	20654	18909	21679	11981	13002	12226	6582	8444	7438	7293	10500	9763	5577	9834	7941	7820	7078	5137	3813	2205	2241	1191	1240	543	516	568	165	124	49	124	244	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	Unknown	6375	35959	327550	386129	241787	143371	77865	128719	113209	149837	144306	176849	147131	134669	141877	114012	86209	72134	87388	49524	38431	27270	35094	32489	29788	33813	25592	18064	18200	15679	20502	14558	14412	18650	17379	20369	18706	25148	18932	14455	11767	8052	6653	11500	6605	3521	5335	3249	763	1840	1829	1114	696	652	83	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	ERV3	91	0	0	79	264	29	181	1061	713	1042	950	1541	2295	3020	3441	4098	5606	8038	12274	15426	30657	49104	80034	128594	155534	191379	207082	211404	229429	210635	221219	188920	177006	153107	112464	101331	76395	66126	58964	42318	40953	36879	37574	27592	16657	13193	10831	9876	5096	2397	2789	1503	1874	1132	555	132	788	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	ERVL	564104	830172	210212	111284	198086	123851	69807	85288	84570	74553	65360	98663	126423	160931	184821	218985	230008	253013	319934	303223	317151	321071	310100	309690	540117	652706	287307	205842	240710	205201	193039	143815	126206	130350	133130	127520	118948	105637	99993	74742	70809	42913	44765	35255	39888	30289	24329	16277	13019	14369	23817	15895	11752	8310	4523	5371	3808	3937	982	1673	540	0	1809	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	RTE	219	1652	1885	7874	27095	96784	145778	157752	197276	189701	153466	145462	93940	65548	39777	22384	16167	8838	7675	4567	3221	5507	4259	1840	2657	1408	1140	1364	909	1205	951	801	931	1064	759	405	29	197	455	67	288	0	381	82	0	0	97	120	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	ERV1	218395	58631	31439	46364	9917	14798	5425	5772	6285	9082	12592	9610	7395	10959	8531	10708	11082	17702	16743	15403	20816	15337	19079	17204	25004	19414	20996	22932	24425	24884	19763	20555	23149	30981	23142	17709	15444	18274	39819	20787	20175	17424	14721	16386	7812	8236	8893	10974	6830	14457	45247	26976	35300	28251	21404	6550	5291	7348	1433	1053	512	374	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Unknown	120433	244341	488726	822659	1107414	1287496	1231286	1062826	998574	921127	951542	1041340	1005091	832182	696292	575476	523690	432235	432685	382564	401713	368292	348695	311686	286545	265972	262925	279844	278493	289829	315096	321816	347791	340540	335725	302082	290202	275041	252015	195599	167301	143905	91770	82014	67027	42786	34425	28227	16929	14181	8645	5207	2880	3309	2014	1443	481	392	0	191	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	SINE	503	0	0	332	720	343	268	696	761	1248	2127	2175	3526	4287	8202	9191	9466	15073	19169	23233	20613	23269	22408	18958	19838	15722	14877	11375	7569	8713	5840	4912	3831	2729	1653	1569	1760	630	378	147	15	14	18	8	18	0	0	83	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-BovB	33	0	1254	1714	239	1795	5325	9300	7125	9668	8229	11465	12991	8121	11883	11472	5515	9165	7476	11136	4800	1642	1441	917	1148	613	391	221	158	118	396	305	33	180	403	68	242	178	63	0	10	0	0	0	0	0	126	129	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
