			Million years bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[	[50;51[	[51;52[	[52;53[	[53;54[	[54;55[	[55;56[	[56;57[	[57;58[	[58;59[	[59;60[	[60;61[	[61;62[	[62;63[	[63;64[	[64;65[	[65;66[	[66;67[	[67;68[	[68;69[	[69;70[	[70;71[	[71;72[	[72;73[	[73;74[	[74;75[	[75;76[	[76;77[	[77;78[	[78;79[	[79;80[	[80;81[	[81;82[	[82;83[	[83;84[	[84;85[	[85;86[	[86;87[	[87;88[	[88;89[	[89;90[	[90;91[	[91;92[	[92;93[	[93;94[	[94;95[	[95;96[	[96;97[	[97;98[	[98;99[	[99;100[

fAlbLTRK12b	LTR	ERV2	0	0	0	0	0	0	0	0	34	0	0	0	0	34	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	55	57	0	0	90	0	0	0	0	95	0	0	0	109	72	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe074	LTR	ERVK	4455	35589	11397	8082	1383	15109	9637	8178	1278	685	719	234	1478	3450	2063	5475	1493	796	0	0	521	583	479	433	996	638	1027	2466	2245	1012	1037	2525	1306	677	1778	1558	870	265	1229	1149	1576	319	928	183	863	853	522	1663	5196	2621	5381	4154	3459	1752	670	219	219	660	220	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe001	LTR	Unknown	25	0	380	96	1921	4102	9414	9675	12463	9674	8441	7023	9439	4396	6564	7814	3371	7120	6463	2462	1531	1994	3233	1160	1590	5492	4112	4735	4023	2436	3023	3658	1493	1182	2272	1028	1142	894	441	242	691	0	94	253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AviRTE_Amazona_vittata	LINE	RTE-BovB	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe057	Unknown	Unknown	0	0	0	540	1126	1899	1350	2873	1188	747	0	538	0	0	0	0	0	0	0	0	0	0	0	132	0	0	123	25	0	20	149	16	0	16	0	20	273	0	0	228	229	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2_I-b_fAlb	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	95	0	148	46	74	62	0	0	666	0	110	54	0	0	0	38	69	0	127	192	0	109	0	0	0	1	0	177	210	0	178	844	458	310	726	952	1013	166	479	34	467	475	160	0	0	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe106	LTR	Unknown	424	0	117	68	161	670	1632	6564	19402	33495	46746	46616	38732	27057	17143	13546	10831	11830	7585	7984	7139	3781	4908	861	2389	5309	5045	3405	4898	1929	2549	3874	4129	1948	3906	3889	3335	2673	1262	2093	11	502	731	337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe071	LTR	ERVL	33	0	0	0	0	0	0	143	91	129	141	0	905	2026	1183	3295	11362	12745	11076	6861	9493	11404	11829	9469	5821	5340	2738	2692	2426	2131	527	1469	1529	449	207	831	416	616	196	357	15	384	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe090	Unknown	Unknown	107	983	6210	25314	20793	4985	2572	1101	1848	8755	8678	27993	24383	11342	8664	3507	5345	2220	9824	3105	6160	3785	5589	5527	3282	1606	1931	1740	3070	1342	2748	1420	1000	1924	1251	1864	2008	3318	1730	518	1113	179	262	461	175	126	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe067	LTR	ERVL	2824	12099	11496	10858	22429	25332	2014	15017	4396	9056	14442	9857	14086	7944	6963	4990	1758	2111	5052	1725	138	1139	543	2690	2711	2140	1344	1063	290	1060	1230	1291	3702	1305	5969	2308	2536	3444	1421	0	491	69	278	292	313	276	106	601	4082	2884	1331	2153	1303	906	119	329	1133	1224	506	498	0	0	1722	740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe051	LTR	Unknown	0	0	0	0	0	0	455	917	450	1385	2145	2234	3663	2567	1541	1656	2753	3091	2371	2919	2159	2891	4417	6840	11050	7154	13317	7578	9556	7686	5628	6372	6123	4733	3012	3779	6992	4141	5184	2629	1504	1019	1525	560	1022	969	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe153	Unknown	Unknown	964	295	17393	26889	15037	26381	13441	42494	9881	18014	7173	3562	2483	3502	4887	12685	6554	12341	2757	8674	966	4211	4491	4896	2224	2001	2067	647	86	0	103	776	90	54	66	332	79	0	97	0	250	151	306	97	128	713	0	0	0	26	0	0	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
