			% of divergence bins:
Rname	Rclass	Rfam	[0;0.25[	[0.25;0.5[	[0.5;0.75[	[0.75;1[	[1;1.25[	[1.25;1.5[	[1.5;1.75[	[1.75;2[	[2;2.25[	[2.25;2.5[	[2.5;2.75[	[2.75;3[	[3;3.25[	[3.25;3.5[	[3.5;3.75[	[3.75;4[	[4;4.25[	[4.25;4.5[	[4.5;4.75[	[4.75;5[	[5;5.25[	[5.25;5.5[	[5.5;5.75[	[5.75;6[	[6;6.25[	[6.25;6.5[	[6.5;6.75[	[6.75;7[	[7;7.25[	[7.25;7.5[	[7.5;7.75[	[7.75;8[	[8;8.25[	[8.25;8.5[	[8.5;8.75[	[8.75;9[	[9;9.25[	[9.25;9.5[	[9.5;9.75[	[9.75;10[	[10;10.25[	[10.25;10.5[	[10.5;10.75[	[10.75;11[	[11;11.25[	[11.25;11.5[	[11.5;11.75[	[11.75;12[	[12;12.25[	[12.25;12.5[	[12.5;12.75[	[12.75;13[	[13;13.25[	[13.25;13.5[	[13.5;13.75[	[13.75;14[	[14;14.25[	[14.25;14.5[	[14.5;14.75[	[14.75;15[	[15;15.25[	[15.25;15.5[	[15.5;15.75[	[15.75;16[	[16;16.25[	[16.25;16.5[	[16.5;16.75[	[16.75;17[	[17;17.25[	[17.25;17.5[	[17.5;17.75[	[17.75;18[	[18;18.25[	[18.25;18.5[	[18.5;18.75[	[18.75;19[	[19;19.25[	[19.25;19.5[	[19.5;19.75[	[19.75;20[	[20;20.25[	[20.25;20.5[	[20.5;20.75[	[20.75;21[	[21;21.25[	[21.25;21.5[	[21.5;21.75[	[21.75;22[	[22;22.25[	[22.25;22.5[	[22.5;22.75[	[22.75;23[	[23;23.25[	[23.25;23.5[	[23.5;23.75[	[23.75;24[	[24;24.25[	[24.25;24.5[	[24.5;24.75[	[24.75;25[	[25;25.25[	[25.25;25.5[	[25.5;25.75[	[25.75;26[	[26;26.25[	[26.25;26.5[	[26.5;26.75[	[26.75;27[	[27;27.25[	[27.25;27.5[	[27.5;27.75[	[27.75;28[	[28;28.25[	[28.25;28.5[	[28.5;28.75[	[28.75;29[	[29;29.25[	[29.25;29.5[	[29.5;29.75[	[29.75;30[	[30;30.25[	[30.25;30.5[	[30.5;30.75[	[30.75;31[	[31;31.25[	[31.25;31.5[	[31.5;31.75[	[31.75;32[	[32;32.25[	[32.25;32.5[	[32.5;32.75[	[32.75;33[	[33;33.25[	[33.25;33.5[	[33.5;33.75[	[33.75;34[	[34;34.25[	[34.25;34.5[	[34.5;34.75[	[34.75;35[	[35;35.25[	[35.25;35.5[	[35.5;35.75[	[35.75;36[	[36;36.25[	[36.25;36.5[	[36.5;36.75[	[36.75;37[	[37;37.25[	[37.25;37.5[	[37.5;37.75[	[37.75;38[	[38;38.25[	[38.25;38.5[	[38.5;38.75[	[38.75;39[	[39;39.25[	[39.25;39.5[	[39.5;39.75[	[39.75;40[	[40;40.25[	[40.25;40.5[	[40.5;40.75[	[40.75;41[	[41;41.25[	[41.25;41.5[	[41.5;41.75[	[41.75;42[	[42;42.25[	[42.25;42.5[	[42.5;42.75[	[42.75;43[	[43;43.25[	[43.25;43.5[	[43.5;43.75[	[43.75;44[	[44;44.25[	[44.25;44.5[	[44.5;44.75[	[44.75;45[	[45;45.25[	[45.25;45.5[	[45.5;45.75[	[45.75;46[	[46;46.25[	[46.25;46.5[	[46.5;46.75[	[46.75;47[	[47;47.25[	[47.25;47.5[	[47.5;47.75[	[47.75;48[	[48;48.25[	[48.25;48.5[	[48.5;48.75[	[48.75;49[	[49;49.25[	[49.25;49.5[	[49.5;49.75[	[49.75;50[	[50;50.25[	[50.25;50.5[	[50.5;50.75[	[50.75;51[	[51;51.25[	[51.25;51.5[	[51.5;51.75[	[51.75;52[	[52;52.25[	[52.25;52.5[	[52.5;52.75[	[52.75;53[	[53;53.25[	[53.25;53.5[	[53.5;53.75[	[53.75;54[	[54;54.25[	[54.25;54.5[	[54.5;54.75[	[54.75;55[	[55;55.25[	[55.25;55.5[	[55.5;55.75[	[55.75;56[	[56;56.25[	[56.25;56.5[	[56.5;56.75[	[56.75;57[	[57;57.25[	[57.25;57.5[	[57.5;57.75[	[57.75;58[	[58;58.25[	[58.25;58.5[	[58.5;58.75[	[58.75;59[	[59;59.25[	[59.25;59.5[	[59.5;59.75[	[59.75;60[	[60;60.25[	[60.25;60.5[	[60.5;60.75[	[60.75;61[	[61;61.25[	[61.25;61.5[	[61.5;61.75[	[61.75;62[	[62;62.25[	[62.25;62.5[	[62.5;62.75[	[62.75;63[	[63;63.25[	[63.25;63.5[	[63.5;63.75[	[63.75;64[	[64;64.25[	[64.25;64.5[	[64.5;64.75[	[64.75;65[	[65;65.25[	[65.25;65.5[	[65.5;65.75[	[65.75;66[	[66;66.25[	[66.25;66.5[	[66.5;66.75[	[66.75;67[	[67;67.25[	[67.25;67.5[	[67.5;67.75[	[67.75;68[	[68;68.25[	[68.25;68.5[	[68.5;68.75[	[68.75;69[	[69;69.25[	[69.25;69.5[	[69.5;69.75[	[69.75;70[	[70;70.25[	[70.25;70.5[	[70.5;70.75[	[70.75;71[	[71;71.25[	[71.25;71.5[	[71.5;71.75[	[71.75;72[	[72;72.25[	[72.25;72.5[	[72.5;72.75[	[72.75;73[	[73;73.25[	[73.25;73.5[	[73.5;73.75[	[73.75;74[	[74;74.25[	[74.25;74.5[	[74.5;74.75[	[74.75;75[	[75;75.25[	[75.25;75.5[	[75.5;75.75[	[75.75;76[	[76;76.25[	[76.25;76.5[	[76.5;76.75[	[76.75;77[	[77;77.25[	[77.25;77.5[	[77.5;77.75[	[77.75;78[	[78;78.25[	[78.25;78.5[	[78.5;78.75[	[78.75;79[	[79;79.25[	[79.25;79.5[	[79.5;79.75[	[79.75;80[	[80;80.25[	[80.25;80.5[	[80.5;80.75[	[80.75;81[	[81;81.25[	[81.25;81.5[	[81.5;81.75[	[81.75;82[	[82;82.25[	[82.25;82.5[	[82.5;82.75[	[82.75;83[	[83;83.25[	[83.25;83.5[	[83.5;83.75[	[83.75;84[	[84;84.25[	[84.25;84.5[	[84.5;84.75[	[84.75;85[	[85;85.25[	[85.25;85.5[	[85.5;85.75[	[85.75;86[	[86;86.25[	[86.25;86.5[	[86.5;86.75[	[86.75;87[	[87;87.25[	[87.25;87.5[	[87.5;87.75[	[87.75;88[	[88;88.25[	[88.25;88.5[	[88.5;88.75[	[88.75;89[	[89;89.25[	[89.25;89.5[	[89.5;89.75[	[89.75;90[	[90;90.25[	[90.25;90.5[	[90.5;90.75[	[90.75;91[	[91;91.25[	[91.25;91.5[	[91.5;91.75[	[91.75;92[	[92;92.25[	[92.25;92.5[	[92.5;92.75[	[92.75;93[	[93;93.25[	[93.25;93.5[	[93.5;93.75[	[93.75;94[	[94;94.25[	[94.25;94.5[	[94.5;94.75[	[94.75;95[	[95;95.25[	[95.25;95.5[	[95.5;95.75[	[95.75;96[	[96;96.25[	[96.25;96.5[	[96.5;96.75[	[96.75;97[	[97;97.25[	[97.25;97.5[	[97.5;97.75[	[97.75;98[	[98;98.25[	[98.25;98.5[	[98.5;98.75[	[98.75;99[	[99;99.25[	[99.25;99.5[	[99.5;99.75[	[99.75;100[

CR1-K4_fAlb	LINE	CR1	0	0	0	0	0	0	0	0	0	0	0	0	33	0	27	0	0	0	0	0	116	37	72	34	49	62	46	0	54	0	145	120	140	37	80	73	114	86	85	96	137	248	232	140	209	402	238	210	198	342	204	192	382	249	401	423	281	480	563	190	346	244	477	310	146	548	507	720	570	469	394	602	480	643	1017	358	727	753	303	420	645	1568	809	638	801	520	535	944	612	714	1246	1215	742	749	450	1238	561	790	848	647	613	1558	824	561	512	446	1071	584	350	424	717	385	645	824	652	850	1325	420	597	256	994	491	478	1289	1388	1100	755	365	588	659	537	903	286	259	1120	361	406	974	42	556	934	49	571	147	15	47	85	563	0	22	67	0	0	0	141	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR1-E2_Ucy	LINE	CR1	152	0	0	0	0	73	0	0	190	87	265	70	156	0	165	0	197	876	338	103	667	880	1224	634	1580	2226	3314	5190	7423	9220	16224	16023	17159	18370	27070	29644	31626	38795	35517	36821	39379	38809	35525	33977	31609	30067	31961	30460	27762	25642	31754	29670	24243	24802	19746	18854	19837	15776	16941	12903	14206	13873	12240	11035	13361	7903	8105	8393	6135	4195	3279	7549	3475	2411	3161	3328	1562	2558	4055	2320	1648	676	883	1295	1141	959	897	984	287	424	877	454	186	911	439	704	494	127	108	124	80	170	104	221	76	108	19	182	92	492	103	48	39	159	32	79	50	211	106	0	0	55	0	77	13	13	10	131	69	59	139	174	70	18	59	202	118	0	33	0	0	20	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe012	LTR	ERVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	235	0	0	31	232	405	228	0	344	218	0	215	0	793	89	700	651	0	0	460	1378	937	127	329	1413	134	91	409	311	105	193	1157	416	921	304	389	530	159	141	1024	296	357	2171	1491	1236	750	1288	1342	3753	2581	3180	3904	3311	3077	3483	4752	2925	3743	4792	3090	2460	6452	3980	3157	4185	3836	1896	2751	1114	2962	3054	1031	2159	2717	2114	1244	794	1313	1719	398	2550	1308	782	1200	228	1065	785	181	320	626	0	335	0	0	113	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe121	LINE	CR1	134	0	0	0	0	0	60	111	143	173	113	69	353	331	243	155	590	278	539	1052	402	1801	1396	2511	2399	4334	1434	4467	6358	8237	9087	9841	14159	15741	21257	27180	24464	24319	32980	26996	26758	28783	34277	27818	29891	29769	28602	28463	28531	25364	28906	27309	23676	26661	29431	23281	23076	26548	28109	26400	25352	23185	21522	20406	13659	15329	15893	15372	16695	12824	10410	10029	7525	11780	5811	3238	6629	5062	4313	2136	2470	2379	4115	1849	1755	1077	1025	1178	770	2275	1138	1424	714	1627	1428	1428	2120	1151	1450	1908	1748	734	1213	1629	934	109	326	567	347	448	866	1206	2141	439	1097	648	367	286	586	478	693	92	517	797	181	520	259	194	177	288	345	47	120	93	62	38	39	73	102	188	0	33	0	47	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2a2_LTR_Ucy	LTR	ERV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	17	0	0	0	0	0	0	197	0	0	0	0	0	0	152	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TguERVL2_I_Ucy	LTR	ERVL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	84	117	48	0	0	43	0	0	0	0	0	0	58	0	42	171	54	0	0	319	36	0	237	0	79	0	0	30	191	181	0	0	796	707	273	346	399	224	0	0	0	119	8	198	699	231	49	186	77	90	64	51	994	278	154	151	0	50	193	0	94	65	673	0	254	273	36	664	224	442	218	747	66	82	0	232	453	169	191	951	1298	359	652	0	371	148	1	153	1906	230	829	560	297	126	0	470	0	40	0	0	0	116	0	432	89	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe138	LTR	Unknown	361	0	504	216	1019	1520	930	5053	1595	513	3362	2668	2361	2000	790	109	469	2008	1874	1962	470	1331	792	1142	2425	885	0	597	0	0	0	0	258	0	427	0	134	319	0	0	11	1096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	1024	583	100	802	0	1025	508	598	1142	173	0	1089	422	0	400	0	986	67	0	1051	489	495	496	977	1051	499	518	0	0	439	0	345	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe036	LTR	Unknown	33	0	0	0	0	76	0	0	46	0	186	0	204	30	225	0	0	163	1507	855	207	1284	2683	3354	5900	4656	5845	10064	10102	11644	7759	9989	8069	5627	5013	11226	4323	3588	1315	1680	1326	1423	525	2240	3302	1109	5468	2942	2255	2643	1924	1337	2318	1418	1714	2088	3494	2238	2474	2976	2100	810	1563	4121	3716	1063	3281	5777	2522	4613	2625	2450	2879	2727	3387	1409	1435	491	993	754	96	0	1035	135	7	0	0	418	0	0	0	541	136	337	0	77	195	475	0	0	8	57	287	263	166	172	0	358	0	14	107	0	0	41	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wilpoe101	SINE	SINE2	2466	0	1755	7641	353	9453	14974	2513	19634	25718	4835	27263	34006	7169	38002	39658	9788	38826	40455	10205	37885	36862	9446	29984	25029	6579	25170	18456	6111	20919	16232	4615	12161	8779	3329	6294	4333	2072	4760	2899	2535	3746	2056	1186	1878	1817	1263	1143	1029	1124	1082	1709	1425	1566	1097	1398	2067	1620	1603	1230	1144	1026	1886	783	1116	1111	880	497	711	462	1181	466	461	535	614	805	338	433	525	171	447	233	353	432	188	293	210	546	224	124	137	96	85	197	290	28	101	0	69	8	71	44	13	236	0	32	32	0	11	34	1	31	75	0	15	0	78	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
