maker-22-augustus-gene-57.1-mRNA-1	PR01405
maker-85-snap-gene-12.56-mRNA-1	PR00762,PR01117
maker-213-augustus-gene-2.30-mRNA-1	PR00098,PR00099,PR00100,PR00101
maker-113217-snap-gene-0.4-mRNA-1	PR00937
maker-23-snap-gene-22.1-mRNA-1	PR01349
maker-10-augustus-gene-128.8-mRNA-1	PR01097,PR01642
maker-422-augustus-gene-14.5-mRNA-1	PR01597,PR01598
augustus_masked-32-processed-gene-31.1-mRNA-1	PR00299
maker-126-augustus-gene-2.47-mRNA-1	PR00047,PR00398,PR01288,PR01290
maker-72-augustus-gene-32.0-mRNA-1	PR00027
maker-409-snap-gene-11.32-mRNA-1	PR00011
maker-231-augustus-gene-6.0-mRNA-1	PR00380
augustus_masked-261-processed-gene-0.6-mRNA-1	PR01320,PR01328
maker-4-augustus-gene-214.2-mRNA-1	PR00700
maker-207-snap-gene-7.46-mRNA-1	PR00289
maker-8-augustus-gene-235.0-mRNA-1	PR00007
snap_masked-227-processed-gene-16.4-mRNA-1	PR00385,PR00463
maker-112539-snap-gene-0.5-mRNA-1	PR01161,PR01162
maker-54-snap-gene-97.25-mRNA-1	PR00704
augustus_masked-460-processed-gene-0.7-mRNA-1	PR00368,PR00411
snap_masked-9-processed-gene-35.3-mRNA-1	PR00401
maker-295-snap-gene-51.28-mRNA-1	PR00119
snap_masked-12-processed-gene-139.26-mRNA-1	PR01186
snap_masked-10-processed-gene-72.11-mRNA-1	PR00113
maker-126-augustus-gene-5.16-mRNA-1	PR00929
maker-23-snap-gene-14.6-mRNA-1	PR00937
maker-7-augustus-gene-132.8-mRNA-1	PR00604
maker-13-augustus-gene-99.7-mRNA-1	PR00111,PR00412
maker-38-augustus-gene-1.25-mRNA-1	PR00047,PR00398,PR00546
maker-3-snap-gene-21.9-mRNA-1	PR00886
maker-436-augustus-gene-1.18-mRNA-1	PR01270,PR01271
maker-15-snap-gene-92.13-mRNA-1	PR00704
augustus_masked-158-processed-gene-23.25-mRNA-1	PR00376
augustus_masked-397-processed-gene-1.16-mRNA-1	PR00237
maker-323-augustus-gene-37.6-mRNA-1	PR00176,PR01201
maker-39-augustus-gene-118.18-mRNA-1	PR00475
maker-9-augustus-gene-12.6-mRNA-1	PR00488
maker-58-snap-gene-7.5-mRNA-1	PR00705
maker-189-snap-gene-0.2-mRNA-1	PR01692
augustus_masked-422-processed-gene-30.4-mRNA-1	PR00320
augustus_masked-318-processed-gene-32.0-mRNA-1	PR00109,PR00452
snap_masked-274-processed-gene-0.21-mRNA-1	PR00304
snap_masked-1-processed-gene-6.7-mRNA-1	PR00503
maker-164-snap-gene-0.5-mRNA-1	PR00024
maker-16-augustus-gene-4.33-mRNA-1	PR00248,PR00593,PR01052
augustus_masked-422-processed-gene-30.5-mRNA-1	PR00625
maker-444-snap-gene-6.12-mRNA-1	PR00633
augustus_masked-84-processed-gene-2.40-mRNA-1	PR01161,PR01162
augustus_masked-153-processed-gene-107.1-mRNA-1	PR00020
maker-8-snap-gene-160.18-mRNA-1	PR00237,PR01830,PR01831
maker-6-augustus-gene-107.5-mRNA-1	PR00376
augustus_masked-26-processed-gene-87.10-mRNA-1	PR00206,PR01137
augustus_masked-39-processed-gene-82.2-mRNA-1	PR00177
maker-32-snap-gene-220.0-mRNA-1	PR02062
maker-113274-augustus-gene-0.6-mRNA-1	PR00597
maker-4-snap-gene-160.0-mRNA-1	PR00836
maker-172-augustus-gene-9.0-mRNA-1	PR00171
maker-0start-augustus-gene-133.4-mRNA-1	PR00020,PR00480
maker-99-augustus-gene-142.0-mRNA-1	PR00850
augustus_masked-110389-processed-gene-0.8-mRNA-1	PR01232
maker-9-augustus-gene-12.7-mRNA-1	PR00488
augustus_masked-1-processed-gene-153.26-mRNA-1	PR00791
maker-323-snap-gene-59.13-mRNA-1	PR01084,PR01087
augustus_masked-112634-processed-gene-0.14-mRNA-1	PR00237
augustus_masked-26-processed-gene-87.6-mRNA-1	PR00237,PR00515,PR01101
maker-64-augustus-gene-20.0-mRNA-1	PR01415
snap_masked-206-processed-gene-1.16-mRNA-1	PR01041
maker-35-augustus-gene-15.4-mRNA-1	PR00503
maker-23-augustus-gene-25.14-mRNA-1	PR00700
maker-374-augustus-gene-5.5-mRNA-1	PR00619
augustus_masked-22-processed-gene-27.6-mRNA-1	PR00237,PR00526
maker-11-snap-gene-12.5-mRNA-1	PR01749
maker-130-augustus-gene-3.0-mRNA-1	PR00124
maker-282-augustus-gene-4.7-mRNA-1	PR00320
maker-2-augustus-gene-34.1-mRNA-1	PR00450
maker-0start-augustus-gene-182.8-mRNA-1	PR00380
snap_masked-68-processed-gene-4.2-mRNA-1	PR00494
maker-466-augustus-gene-0.7-mRNA-1	PR00926
augustus_masked-8-processed-gene-13.1-mRNA-1	PR00937,PR00938
maker-38-augustus-gene-19.29-mRNA-1	PR00991
maker-153-augustus-gene-1.8-mRNA-1	PR00783,PR02013
augustus_masked-442-processed-gene-13.12-mRNA-1	PR01320,PR01324
augustus_masked-249343-processed-gene-0.0-mRNA-1	PR00907
maker-340-augustus-gene-1.20-mRNA-1	PR00722
maker-14-augustus-gene-53.20-mRNA-1	PR00216
maker-62-augustus-gene-16.16-mRNA-1	PR00453
augustus_masked-15-processed-gene-143.0-mRNA-1	PR01333,PR01499
snap_masked-18-processed-gene-117.3-mRNA-1	PR00014
augustus_masked-1-processed-gene-383.1-mRNA-1	PR00237,PR01157
augustus_masked-30-processed-gene-18.13-mRNA-1	PR00237,PR00647
augustus_masked-23-processed-gene-32.13-mRNA-1	PR00786
maker-47-augustus-gene-48.2-mRNA-1	PR00001
snap_masked-22-processed-gene-26.2-mRNA-1	PR01245,PR01246
maker-68-augustus-gene-31.18-mRNA-1	PR00252,PR00254
snap_masked-13-processed-gene-211.15-mRNA-1	PR00173
augustus_masked-4-processed-gene-52.13-mRNA-1	PR00259
maker-273-snap-gene-0.29-mRNA-1	PR00301
augustus_masked-61-processed-gene-2.8-mRNA-1	PR00967
snap_masked-268-processed-gene-40.21-mRNA-1	PR00443
maker-25-snap-gene-145.23-mRNA-1	PR01433
maker-7-augustus-gene-252.2-mRNA-1	PR00105
augustus_masked-142-processed-gene-1.16-mRNA-1	PR01857
maker-207-snap-gene-22.5-mRNA-1	PR00289
maker-187-snap-gene-1.39-mRNA-1	PR00176
maker-21-snap-gene-7.5-mRNA-1	PR00057
maker-111301-augustus-gene-0.1-mRNA-1	PR01349,PR01841
