maker-21-augustus-gene-31.0-mRNA-1	IPR006769,IPR039055
maker-380-augustus-gene-24.8-mRNA-1	IPR031479
maker-28-snap-gene-14.9-mRNA-1	IPR004600
maker-241-augustus-gene-4.44-mRNA-1	IPR009071,IPR030089
augustus_masked-3-processed-gene-4.0-mRNA-1	IPR001841
snap_masked-275-processed-gene-3.2-mRNA-1	IPR022812,IPR030381
maker-28-augustus-gene-9.3-mRNA-1	IPR013026,IPR019734
augustus_masked-444-processed-gene-6.67-mRNA-1	IPR010487
snap_masked-112041-processed-gene-0.3-mRNA-1	IPR015526,IPR026553
maker-15-augustus-gene-75.9-mRNA-1	IPR004855
maker-15-augustus-gene-15.2-mRNA-1	IPR004000,IPR027306
maker-245-augustus-gene-1.1-mRNA-1	IPR033295
snap_masked-441-processed-gene-0.20-mRNA-1	IPR028435,IPR028439
maker-6-augustus-gene-133.11-mRNA-1	IPR003598,IPR003599,IPR007110,IPR042495
snap_masked-95-processed-gene-6.35-mRNA-1	IPR026082,IPR030369
maker-47-snap-gene-18.14-mRNA-1	IPR001849,IPR010569,IPR030564,IPR030567
maker-187-snap-gene-1.49-mRNA-1	IPR000742,IPR002049,IPR008211,IPR013015
augustus_masked-39-processed-gene-119.13-mRNA-1	IPR011598,IPR032656
maker-2-augustus-gene-304.13-mRNA-1	IPR012336,IPR033468
maker-326-augustus-gene-5.5-mRNA-1	IPR004031,IPR008368,IPR008369
snap_masked-112875-processed-gene-0.2-mRNA-1	IPR001680,IPR017986
snap_masked-291-processed-gene-5.9-mRNA-1	IPR000571
maker-111889-augustus-gene-0.19-mRNA-1	IPR002067,IPR018108
maker-13-augustus-gene-73.10-mRNA-1	IPR004263,IPR015338
maker-77-augustus-gene-35.10-mRNA-1	IPR000532
snap_masked-59-processed-gene-131.1-mRNA-1	IPR001609
maker-6-augustus-gene-118.5-mRNA-1	IPR001128
augustus_masked-51-processed-gene-5.2-mRNA-1	IPR021843,IPR032430,IPR035309
maker-49-snap-gene-27.4-mRNA-1	IPR029234
maker-242-snap-gene-0.5-mRNA-1	IPR042814
maker-231-snap-gene-3.10-mRNA-1	IPR000418,IPR006715
snap_masked-334-processed-gene-0.1-mRNA-1	IPR001005,IPR017884,IPR038044
snap_masked-229-processed-gene-5.3-mRNA-1	IPR000873
maker-12-augustus-gene-150.10-mRNA-1	IPR019159,IPR039116
maker-468-augustus-gene-12.14-mRNA-1	IPR007848
maker-48-augustus-gene-23.18-mRNA-1	IPR003593,IPR003959,IPR013748
maker-23-snap-gene-3.0-mRNA-1	IPR002853,IPR013137,IPR017919,IPR021600,IPR024550,IPR039997
snap_masked-146-processed-gene-18.8-mRNA-1	IPR004014,IPR030322
maker-439-augustus-gene-0.10-mRNA-1	IPR004281
snap_masked-114-processed-gene-2.1-mRNA-1	IPR002641,IPR033562
maker-386-augustus-gene-0.42-mRNA-1	IPR003598,IPR003599,IPR007110,IPR013106,IPR013162
snap_masked-22-processed-gene-47.9-mRNA-1	IPR013026,IPR019734,IPR039684
augustus_masked-75-processed-gene-2.25-mRNA-1	IPR001079
maker-32-snap-gene-58.1-mRNA-1	IPR001680,IPR017986,IPR020472,IPR042238
maker-316-snap-gene-8.1-mRNA-1	IPR006627,IPR028184
snap_masked-410-processed-gene-0.40-mRNA-1	IPR007304
maker-47-snap-gene-59.5-mRNA-1	IPR026515,IPR029264
maker-213-snap-gene-2.1-mRNA-1	IPR042350
maker-3-snap-gene-5.1-mRNA-1	IPR000719
augustus_masked-15-processed-gene-41.1-mRNA-1	IPR006917
maker-152-augustus-gene-14.8-mRNA-1	IPR002130
maker-112926-snap-gene-0.9-mRNA-1	IPR005331,IPR018011
maker-445-augustus-gene-0.61-mRNA-1	IPR006145
maker-11-augustus-gene-83.12-mRNA-1	IPR006140
maker-231-snap-gene-6.11-mRNA-1	IPR003886
maker-112971-snap-gene-0.9-mRNA-1	IPR027904,IPR038915
snap_masked-124-processed-gene-0.22-mRNA-1	IPR001849
maker-323-snap-gene-62.25-mRNA-1	IPR012548
maker-374-snap-gene-8.15-mRNA-1	IPR002909,IPR028839,IPR037524
maker-109-augustus-gene-42.6-mRNA-1	IPR007194,IPR037992
augustus_masked-17-processed-gene-28.11-mRNA-1	IPR024661
snap_masked-243-processed-gene-5.10-mRNA-1	IPR001781,IPR028537
maker-0start-snap-gene-307.13-mRNA-1	IPR002843,IPR016727
augustus_masked-441-processed-gene-1.64-mRNA-1	IPR001304,IPR002352
augustus_masked-7-processed-gene-24.4-mRNA-1	IPR000276,IPR000355,IPR005383,IPR017452
snap_masked-326-processed-gene-2.10-mRNA-1	IPR016137,IPR032101
snap_masked-450-processed-gene-1.30-mRNA-1	IPR013881,IPR027104
snap_masked-8-processed-gene-167.5-mRNA-1	IPR019510
maker-2-snap-gene-232.6-mRNA-1	IPR000210,IPR000408,IPR002110,IPR020683
maker-251164-augustus-gene-0.13-mRNA-1	IPR003593,IPR003959
maker-11-augustus-gene-81.0-mRNA-1	IPR001270,IPR003593,IPR003959
maker-109-augustus-gene-59.3-mRNA-1	IPR001594
maker-132-snap-gene-15.9-mRNA-1	IPR001206
