#Rname	Rclass	Rfam	Rlen	FRG_NB_all	FRG_NB_Reconstructed_repeats	LEN_MASKED_NR	AVG_%DIV	MED_%DIV	AVG_%DEL	MED_%DEL	AVG_%INS	MED_%INS	AVG_LEN_MASKED	%_GENOME

Wilpoe067	LTR	ERVL	3508	348	294	231168	8.96173129498862	5.2	1.85903801564238	1.3	0.741650228406748	0.2	0.00233546340174336	nd
Wilpoe076	Unknown	Unknown	6038	847	635	925905	6.56575393804216	2.5	1.35671899384764	0.5	1.39914267661512	0.2	0.00935431046248263	nd
TguERVL2a3_LTR_Ucy	LTR	ERV3	641	3	3	265	23.4950943396225	22.2	7.16603773584908	7.9	6.22452830188681	6.0	2.67726416053256e-06	nd
Wilpoe004	LTR	Unknown	861	1510	1136	710956	10.219842437505	9.4	4.16471103697143	3.4	6.523363471158	6.5	0.00718270573024749	nd
Wilpoe049	Unknown	Unknown	1321	627	531	434377	8.82129440554524	8.8	3.11655198134715	2.7	2.89485078629606	2.5	0.0043884602802251	nd
Wilpoe129	LINE	CR1	472	917	909	234111	6.08476150202059	5.0	1.23763385744367	0.0	3.34324444387431	3.1	0.00236519618825071	nd
TguLTRK1a-La_Ucy	LTR	ERV2	814	3	3	161	19.4198757763975	18.0	1.8472049689441	2.2	1.23105590062112	1.6	1.62656426356884e-06	nd
Wilpoe117	LTR	Unknown	558	309	301	150959	5.38199511125501	4.0	1.4100318629559	0.5	1.59709192562245	1.8	0.00152512120909371	nd
Wilpoe038	LTR	ERVL	1437	391	390	66541	9.32648893163534	6.8	3.08802091943313	1.0	1.65461895673274	1.1	0.000672255979267913	nd
Wilpoe073	LTR	ERV1	758	541	468	153223	16.7523524536132	15.7	6.50029042637206	4.4	2.1022757679986	1.7	0.00154799413761992	nd
Wilpoe091	LTR	ERVK	7286	793	455	727200	15.6845295654349	6.4	1.57686674917441	0.5	1.19952956545225	0.8	0.00734681697184632	nd
Wilpoe101	SINE	SINE2	135	5802	5784	670545	5.60991104251128	5.0	0.915444153636188	0.0	0.269082761037651	0.0	0.00677443810009171	nd
TguLTRL4c_fAlb	LTR	ERV3	1152	1009	949	427142	21.9540110782678	21.3	6.27007575935394	5.6	2.90160766208868	2.2	0.00431536591720075	nd
TguERVL2a1_LTR-La_Ucy	LTR	ERV3	746	9	8	1275	23.7134117647066	23.4	8.73709803921554	6.9	2.70384313725492	2.0	1.28811766214302e-05	nd
Wilpoe142	LTR	Unknown	649	357	279	129061	4.96094637419471	4.1	3.56201331153543	2.8	3.53339816056053	2.2	0.0013038882634811	nd
Wilpoe130	LTR	Unknown	560	489	466	169241	12.1719601042319	9.7	3.97221240716038	3.0	4.11334073894699	3.4	0.00170982212751959	nd
Wilpoe022	LINE	CR1	420	848	826	215118	12.0816458873669	11.8	4.56944421201324	3.2	2.40280171812626	1.8	0.00217331211956771	nd
Wilpoe016	LINE	Unknown	1999	466	362	346187	4.14866098380482	3.0	1.07590030821574	0.5	1.75564795905067	1.2	0.00349748697336711	nd
TguLTRL4a-La_fAlb	LTR	ERV3	1435	3	3	59	27.8762711864407	29.9	4.35254237288135	3.6	5.07627118644068	6.7	5.96070133854419e-07	nd
Wilpoe034	LTR	ERVL	589	1104	1066	350321	17.275137944912	15.8	5.33034588277398	4.1	1.56755775417522	0.9	0.00353925229427142	nd
CR1-E2_Ucy	LINE	CR1	475	3266	3203	1069311	12.5463334801708	12.3	4.24140282854909	3.0	0.766944509127327	0.4	0.0108031245915594	nd
Wilpoe152	LTR	Unknown	626	1127	1098	571397	12.2920052082923	12.9	5.08552565029206	4.8	2.03918448994479	1.6	0.0057727573944748	nd
CR1-X1c_Ucy	LINE	CR1	2198	1266	1236	869966	16.1616772379552	14.6	3.1294347135371	2.6	0.757188097005812	0.5	0.00878916525540327	nd
Wilpoe089	LTR	Unknown	749	802	633	237524	18.5161465788737	20.9	3.79320616021988	2.7	3.63853631633225	3.1	0.00239967733006164	nd
UcyLTR1	LTR	ERV1	565	33	33	2725	20.4104220183486	21.5	3.04231192660549	2.5	5.36543119266053	4.1	2.75303578771744e-05	nd
AviRTE_Apaloderma_vittatum	LINE	RTE-BovB	3998	78	77	33057	11.8563874519759	12.0	1.77991953292783	1.5	0.30322170795907	0.1	0.000333971023980093	nd
Wilpoe115	LTR	Unknown	445	286	251	97843	11.5501129360298	11.2	2.7099649438387	1.3	4.69303578181358	3.5	0.000988496442486744	nd
Wilpoe100	LTR	Unknown	408	404	395	153920	5.51672882016596	5	1.89395919958494	1.6	3.62605249480568	3.4	0.00155503584750631	nd
Wilpoe090	Unknown	Unknown	1304	692	604	230575	9.37254515884351	8.1	1.23566084788128	0.5	3.78871256641093	3.6	0.00232947239175394	nd
TguLTRL2a8-Lc_fAlb	LTR	ERV3	1671	10	10	624	18.8338141025643	19.3	2.73429487179487	2.4	5.38365384615387	5.9	6.30419938178232e-06	nd
TguLTRL1a7-a_fAlb	LTR	ERV3	669	2	2	146	16.2431506849315	19.7	7.51438356164382	10.3	8.48424657534248	5.9	1.47502100919907e-06	nd
CR1-E1_Ucy	LINE	CR1	419	4514	4453	1079978	12.6608337392119	12.5	4.52532783075183	2.8	0.771029687641874	0.4	0.0109108920511835	nd
